ServiceEpisodeID,ClientID,Created At,Service Type,Service Subtype,Originating Organization,Duration of Case (days),Address 1 County,Address 1 State,Address 1 Postal Code,Gender,Age
2761,38,6/22/2022 16:52,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2763,38,6/2/2022 18:40,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2767,38,6/17/2022 12:41,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2775,366,6/27/2022 12:53,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40219,Female,57
2803,329,6/27/2022 19:07,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40202,Male,58
2830,38,6/16/2022 18:34,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2886,38,6/13/2022 18:38,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2958,177,6/1/2022 10:54,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40216,Female,22
3016,122,6/27/2022 12:48,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
3086,121,6/21/2022 12:48,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Male,21
3114,689,6/15/2022 18:00,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40216,Female,55
3119,119,6/27/2022 16:53,Transportation,Ride Coordination,Organization 104,,,KY,40210,Male,24
3192,121,6/13/2022 16:35,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Male,21
3285,117,6/29/2022 17:23,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Male,18
3341,1081,6/2/2022 13:11,Transportation,Ride Coordination,Organization 104,14.29,Jefferson County,KY,40202,Male,45
3355,177,6/21/2022 20:17,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40216,Female,22
3374,38,6/1/2022 16:11,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
3391,405,6/16/2022 19:38,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40291,Male,22
3414,401,6/19/2022 14:12,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,24
3473,967,6/7/2022 12:56,Transportation,Ride Coordination,Organization 104,,Oldham County,KY,40014,Female,40
3495,881,6/1/2022 15:05,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Female,40
3531,119,6/30/2022 11:04,Transportation,Ride Coordination,Organization 104,,,KY,40210,Male,24
3543,188,6/24/2022 20:39,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Female,25
3551,38,6/9/2022 18:18,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
3552,968,6/7/2022 12:46,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Female,34
3571,38,6/23/2022 17:45,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
3576,121,6/23/2022 10:27,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Male,21
3607,401,6/6/2022 16:20,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,24
3651,119,6/28/2022 13:26,Transportation,Ride Coordination,Organization 104,,,KY,40210,Male,24
3663,122,6/28/2022 10:32,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
3673,117,6/28/2022 10:36,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Male,18
3707,730,6/14/2022 20:37,Transportation,Ride Coordination,Organization 104,1.97,Jefferson County,KY,40203,Male,40
3910,38,5/31/2022 18:53,Transportation,Ride Coordination,Organization 104,16.04,Jefferson County,KY,40211,Male,24
3748,38,5/27/2022 19:02,Transportation,Ride Coordination,Organization 104,20.05,Jefferson County,KY,40211,Male,24
3979,124,3/25/2022 17:11,Transportation,Ride Coordination,Organization 104,87.85,Jefferson County,KY,40210,Male,24
3918,188,5/19/2022 15:23,Transportation,Ride Coordination,Organization 104,28.21,Jefferson County,KY,40203,Female,25
3866,728,5/19/2022 15:39,Transportation,Ride Coordination,Organization 104,28.21,Jefferson County,KY,40202,Male,51
3951,1247,5/20/2022 17:05,Transportation,Ride Coordination,Organization 104,27.15,Jefferson County,KY,40214,Male,19
3747,1252,5/19/2022 20:36,Transportation,Ride Coordination,Organization 104,28.01,Jefferson County,KY,40299,Female,22
3838,1255,5/19/2022 15:25,Transportation,Ride Coordination,Organization 104,28.21,Jefferson County,KY,40211,Male,59
3757,1256,5/19/2022 15:18,Transportation,Ride Coordination,Organization 104,28.21,Jefferson County,KY,40211,Female,48
3919,1247,5/10/2022 13:22,Transportation,Ride Coordination,Organization 104,37.32,Jefferson County,KY,40214,Male,19
3958,1247,4/29/2022 17:50,Transportation,Ride Coordination,Organization 104,51.98,Jefferson County,KY,40214,Male,19
3952,1333,3/16/2022 21:08,Transportation,Ride Coordination,Organization 104,92,Jefferson County,KY,40202,Male,58
3973,1333,3/16/2022 20:53,Transportation,Ride Coordination,Organization 104,92.01,Jefferson County,KY,40202,Male,58
1921,582,6/21/2022 13:18,Transportation,Ride Coordination,Organization 104,0.01,,,,Undisclosed,17
1954,758,6/14/2022 13:44,Transportation,Ride Coordination,Organization 104,2.26,,,,Female,28
2184,190,6/26/2022 11:18,Transportation,Ride Coordination,Organization 104,,,,,Female,17
2254,379,6/27/2022 12:45,Transportation,Ride Coordination,Organization 104,,,,,Female,62
2306,761,6/14/2022 13:10,Transportation,Ride Coordination,Organization 104,,,,,Undisclosed,22
2516,761,6/13/2022 12:47,Transportation,Ride Coordination,Organization 104,,,,,Undisclosed,22
2991,1002,6/6/2022 12:16,Transportation,Ride Coordination,Organization 104,,,,,Female,63
3096,180,6/23/2022 17:12,Transportation,Ride Coordination,Organization 104,,,,,Male,26
3101,180,6/23/2022 17:10,Transportation,Ride Coordination,Organization 104,,,,,Male,26
3147,399,6/17/2022 18:32,Transportation,Ride Coordination,Organization 104,,,,,Female,31
3382,399,6/17/2022 18:36,Transportation,Ride Coordination,Organization 104,,,,,Female,31
3532,688,6/15/2022 18:29,Transportation,Ride Coordination,Organization 104,,,,,Undisclosed,20
3855,1297,5/2/2022 14:21,Transportation,Ride Coordination,Organization 104,45.26,,,,Undisclosed,30
3870,1300,4/28/2022 20:23,Transportation,Ride Coordination,Organization 104,49.03,,,,Male,57
3817,1240,5/24/2022 14:03,Individual & Family Support,Caregiving Services,Organization 119,9.85,Jefferson County,KY,40217,Female,83
1576,531,3/1/2022 15:01,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40214,Female,35
1646,529,2/9/2022 17:21,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40215,Female,37
1993,456,1/25/2022 20:31,Utilities,Utility Bill Payment Assistance,Organization 129,,Jefferson County,KY,40218,Male,9
2000,531,3/1/2022 15:01,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40214,Female,35
2056,529,2/9/2022 17:21,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40215,Female,37
2305,531,3/1/2022 15:01,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40214,Female,35
2670,531,3/1/2022 15:01,Clothing & Household Goods,,Organization 129,,Jefferson County,KY,40214,Female,35
2717,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,,Jefferson County,KY,40211,Female,38
3233,956,5/31/2022 20:16,Housing & Shelter,Emergency Housing,Organization 129,,Jefferson County,KY,40204,Male,11
3322,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,,Jefferson County,KY,40211,Female,38
3425,456,1/25/2022 20:31,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,,Jefferson County,KY,40218,Male,9
3583,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,,Jefferson County,KY,40211,Female,38
3290,459,1/20/2022 21:06,Housing & Shelter,Permanent Housing,Organization 129,,,,,Male,43
3734,1347,2/7/2022 20:11,Housing & Shelter,Housing Mediation & Eviction Prevention,Organization 135,29.18,Jefferson County,KY,40228,Female,23
3908,1348,2/7/2022 16:36,Housing & Shelter,Housing Mediation & Eviction Prevention,Organization 135,29.06,Jefferson County,KY,40215,Female,28
3836,1349,2/2/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 135,32.05,,,,Undisclosed,41
2241,806,6/7/2022 16:55,Employment,Job Search/Placement,Organization 137,,Jefferson County,KY,40211,Female,21
2534,822,6/7/2022 17:36,Employment,Job Search/Placement,Organization 137,,Jefferson County,KY,40210,Female,39
2578,374,6/27/2022 13:38,Employment,Job Search/Placement,Organization 137,,Jefferson County,KY,40211,Female,30
3741,1249,5/20/2022 14:12,Employment,Job Search/Placement,Organization 137,11.98,,,,Undisclosed,21
1709,523,6/22/2022 18:06,Employment,Job Training,Organization 138,,Jefferson County,KY,40216,Undisclosed,36
2218,675,6/10/2022 19:39,Employment,Job Training,Organization 138,1.07,Jefferson County,KY,40206,Female,50
2250,425,6/23/2022 16:12,Employment,Job Training,Organization 138,3.05,Jefferson County,KY,40215,Undisclosed,36
2688,806,6/9/2022 15:08,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40211,Female,21
2770,46,6/27/2022 14:02,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40219,Female,37
2968,46,6/27/2022 14:03,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40219,Female,37
3098,866,6/8/2022 18:57,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40202,Male,24
3104,608,6/17/2022 15:58,Employment,Job Search/Placement,Organization 138,9.71,Jefferson County,KY,40215,Undisclosed,25
3441,266,6/27/2022 19:21,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40203,Female,51
3555,625,6/14/2022 15:47,Employment,Job Search/Placement,Organization 138,1.74,Jefferson County,KY,40207,Undisclosed,53
3561,452,6/21/2022 14:16,Employment,Job Search/Placement,Organization 138,,Jefferson County,KY,40208,Undisclosed,33
3773,1271,5/17/2022 19:19,Employment,Job Training,Organization 138,15.03,Jefferson County,KY,40215,Female,46
1503,298,5/18/2022 16:23,Individual & Family Support,Life Skills Training & Support,Organization 138,,Jefferson County,,40203,Undisclosed,17
1532,41,6/30/2022 17:30,Employment,Career Skills Development,Organization 138,,Jefferson County,,40219,Undisclosed,42
1577,297,5/23/2022 16:16,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40203,Undisclosed,23
1589,672,5/20/2022 19:33,Employment,Job Training,Organization 138,,Jefferson County,,40212,Undisclosed,23
1595,691,6/15/2022 15:39,Employment,Job Training,Organization 138,,Shelby County,,40065,Undisclosed,36
1603,564,6/14/2022 19:11,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40216,Undisclosed,57
1625,579,6/21/2022 14:13,Employment,Job Search/Placement,Organization 138,,,,,,
1639,514,6/22/2022 20:21,Employment,Job Search/Placement,Organization 138,,,,,,
1650,301,6/16/2022 14:55,Education,Computer/Technology Classes,Organization 138,,Jefferson County,,40228,Undisclosed,24
1652,352,6/13/2022 18:06,Employment,Job Search/Placement,Organization 138,,,,40241,Undisclosed,59
1676,451,6/14/2022 15:28,Education,Educational Support Services,Organization 138,,Jefferson County,,40210,Undisclosed,17
1695,205,6/29/2022 13:30,Education,Educational Support Services,Organization 138,,Hardin County,,40160,Undisclosed,22
1719,496,6/23/2022 14:30,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40215,Undisclosed,62
1720,700,6/3/2022 20:28,Employment,Job Search/Placement,Organization 138,15.99,Jefferson County,,40291,Undisclosed,47
1725,451,6/15/2022 18:53,Education,Educational Support Services,Organization 138,,Jefferson County,,40210,Undisclosed,17
1730,831,6/10/2022 17:12,Employment,Job Training,Organization 138,,,,,,
1764,610,6/16/2022 16:38,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40202,Undisclosed,52
1768,702,6/9/2022 14:56,Employment,Job Training,Organization 138,14.04,Jefferson County,,40214,Undisclosed,38
1779,825,6/8/2022 19:21,Employment,Job Search/Placement,Organization 138,2.83,,,40241,Undisclosed,22
1788,569,6/21/2022 16:35,Employment,Job Training,Organization 138,,Jefferson County,,40219,Undisclosed,52
1825,673,5/16/2022 19:49,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40212,Undisclosed,20
1826,543,6/22/2022 13:50,Employment,Job Training,Organization 138,,Jefferson County,,40118,Undisclosed,42
1832,429,6/24/2022 12:08,Employment,Job Training,Organization 138,,Bullitt County,,40165,Undisclosed,43
1837,976,6/6/2022 20:04,Education,Computer/Technology Classes,Organization 138,7.94,Jefferson County,,40218,Undisclosed,25
1862,909,6/7/2022 12:14,Employment,Job Search/Placement,Organization 138,,,,40071,Undisclosed,31
1874,1018,5/19/2022 16:44,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40210,Undisclosed,22
1875,408,6/24/2022 16:05,Employment,Job Training,Organization 138,,,,,,
1891,789,6/6/2022 15:06,Employment,Job Search/Placement,Organization 138,,,,40245,Undisclosed,54
1898,695,6/15/2022 15:22,Employment,Job Training,Organization 138,14.14,,,40272,Undisclosed,32
1903,449,6/21/2022 17:22,Employment,Job Training,Organization 138,,Jefferson County,,40206,Undisclosed,30
1920,103,6/29/2022 13:38,Education,Educational Support Services,Organization 138,,Jefferson County,,40211,Female,32
1924,671,5/20/2022 19:37,Employment,Job Training,Organization 138,,Jefferson County,,40212,Undisclosed,19
1937,1055,6/1/2022 19:35,Education,Educational Support Services,Organization 138,,,,,Undisclosed,51
2055,109,6/23/2022 16:46,Education,Educational Support Services,Organization 138,,Jefferson County,,40211,Undisclosed,26
2063,350,6/1/2022 16:05,Employment,Job Search/Placement,Organization 138,5.12,Jefferson County,,40220,Undisclosed,67
2107,493,6/23/2022 14:54,Employment,Job Search/Placement,Organization 138,,,,,,
2123,424,5/23/2022 19:41,Employment,Job Search/Placement,Organization 138,,,,40031,Undisclosed,28
2137,792,6/13/2022 14:34,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40217,Undisclosed,69
2155,364,6/6/2022 18:58,Employment,Job Training,Organization 138,,Jefferson County,,40210,Undisclosed,39
2163,682,6/6/2022 20:31,Employment,Job Training,Organization 138,,Jefferson County,,40216,Undisclosed,30
2165,564,6/21/2022 15:57,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40216,Undisclosed,57
2167,112,6/13/2022 13:20,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40299,Undisclosed,21
2186,587,6/21/2022 13:12,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40291,Undisclosed,54
2192,796,6/9/2022 20:27,Employment,Job Search/Placement,Organization 138,2.89,Jefferson County,,40207,Undisclosed,40
2208,108,6/27/2022 17:08,Food Assistance,SNAP/WIC/Other Nutrition Benefits,Organization 138,,Jefferson County,,40204,Undisclosed,20
2215,697,6/1/2022 15:49,Individual & Family Support,Child Care,Organization 138,,Jefferson County,,40210,Undisclosed,24
2231,934,6/3/2022 18:29,Employment,Job Search/Placement,Organization 138,,,,,Undisclosed,30
2236,825,6/8/2022 19:23,Employment,Job Search/Placement,Organization 138,,,,40241,Undisclosed,22
2280,764,6/3/2022 16:49,Employment,Job Training,Organization 138,,,,40272,Undisclosed,44
2296,33,6/30/2022 19:06,Employment,Career Skills Development,Organization 138,,Jefferson County,,40214,Undisclosed,17
2299,1075,3/8/2022 18:02,Education,Educational Support Services,Organization 138,0,Jefferson County,,40203,Undisclosed,19
2303,785,6/6/2022 19:45,Employment,Job Training,Organization 138,,,,40150,Undisclosed,30
2304,980,6/6/2022 19:04,Employment,Job Training,Organization 138,,,,,,
2307,696,6/13/2022 20:06,Employment,Job Training,Organization 138,,Jefferson County,,40208,Undisclosed,22
2318,242,5/23/2022 20:34,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40216,Undisclosed,27
2343,496,6/23/2022 14:32,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40215,Undisclosed,62
2355,350,6/15/2022 17:58,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40220,Undisclosed,67
2365,302,6/17/2022 16:36,Education,Computer/Technology Classes,Organization 138,,Jefferson County,,40216,Undisclosed,42
2366,120,6/24/2022 16:20,Employment,Job Training,Organization 138,,Boone County,,41005,Undisclosed,57
2368,777,6/13/2022 16:22,Employment,Job Search/Placement,Organization 138,2.9,Jefferson County,,40291,Undisclosed,33
2370,986,6/6/2022 16:40,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40217,Undisclosed,38
2403,691,6/15/2022 15:32,Employment,Job Training,Organization 138,,Shelby County,,40065,Undisclosed,36
2439,578,6/3/2022 15:11,Employment,Job Search/Placement,Organization 138,,,,,Undisclosed,34
2445,575,6/21/2022 15:14,Employment,Job Search/Placement,Organization 138,,,,,,
2446,867,6/9/2022 16:51,Employment,Job Training,Organization 138,,,,,,
2479,700,6/3/2022 19:02,Employment,Job Search/Placement,Organization 138,0.95,Jefferson County,,40291,Undisclosed,47
2486,104,6/29/2022 13:28,Education,Educational Support Services,Organization 138,,Jefferson County,,40211,Undisclosed,29
2530,450,6/17/2022 18:03,Employment,Job Training,Organization 138,,Jefferson County,,40207,Undisclosed,33
2549,540,6/22/2022 14:22,Employment,Job Training,Organization 138,,Jefferson County,,40211,Undisclosed,30
2559,697,6/1/2022 15:50,Individual & Family Support,Child Care,Organization 138,,Jefferson County,,40210,Undisclosed,24
2568,686,6/15/2022 12:40,Employment,Job Search/Placement,Organization 138,0.77,Jefferson County,,40213,Undisclosed,49
2580,557,6/21/2022 18:19,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40220,Undisclosed,61
2586,352,6/14/2022 12:17,Employment,Job Search/Placement,Organization 138,,,,40241,Undisclosed,59
2587,825,6/8/2022 19:20,Employment,Job Search/Placement,Organization 138,,,,40241,Undisclosed,22
2588,375,6/13/2022 16:07,Employment,Job Search/Placement,Organization 138,,,,,,
2613,576,6/21/2022 15:02,Education,Tuition Assistance,Organization 138,,Jefferson County,,40214,Undisclosed,48
2625,863,6/3/2022 14:50,Employment,Job Search/Placement,Organization 138,,,,40047,Undisclosed,63
2648,275,6/28/2022 15:30,Employment,Job Training,Organization 138,,,,40211,Undisclosed,31
2666,948,6/7/2022 15:55,Employment,Job Search/Placement,Organization 138,,,,,,
2668,1016,5/25/2022 14:09,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40217,Undisclosed,33
2673,868,6/9/2022 15:51,Employment,Job Training,Organization 138,,,,,,
2698,719,6/15/2022 13:14,Employment,Career Skills Development,Organization 138,,Jefferson County,,40203,Undisclosed,25
2718,808,5/25/2022 18:41,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40208,Undisclosed,21
2734,1052,5/31/2022 18:36,Employment,Job Training,Organization 138,4.68,Jefferson County,,40211,Undisclosed,34
2768,554,6/21/2022 19:38,Employment,Job Training,Organization 138,,,,,,
2795,864,6/9/2022 16:39,Employment,Job Search/Placement,Organization 138,,Bullitt County,,40165,Undisclosed,54
2799,793,6/13/2022 15:50,Employment,Job Training,Organization 138,,,,40150,Undisclosed,38
2809,443,6/21/2022 17:32,Employment,Job Search/Placement,Organization 138,3.82,Jefferson County,,40203,Undisclosed,38
2814,147,6/29/2022 19:00,Employment,Job Training,Organization 138,,,,,,
2843,248,4/26/2022 19:27,Education,Educational Support Services,Organization 138,,Jefferson County,,40216,Undisclosed,16
2859,611,6/15/2022 20:22,Employment,Job Search/Placement,Organization 138,9.76,Jefferson County,,40206,Undisclosed,66
2865,798,6/7/2022 16:02,Employment,Job Training,Organization 138,,Jefferson County,,40214,Undisclosed,20
2870,898,6/8/2022 17:33,Education,Educational Support Services,Organization 138,,,,,,
2876,1090,6/1/2022 16:17,Employment,Job Training,Organization 138,,Shelby County,,40065,Undisclosed,24
2880,797,6/3/2022 17:22,Employment,Job Training,Organization 138,2.89,Jefferson County,,40216,Undisclosed,22
2889,609,6/16/2022 18:49,Employment,Job Training,Organization 138,,Jefferson County,,40203,Undisclosed,34
2902,1096,6/1/2022 14:31,Employment,Job Training,Organization 138,5.1,Jefferson County,,40228,Undisclosed,18
2939,110,6/15/2022 16:52,Education,Educational Support Services,Organization 138,,Jefferson County,,40219,Undisclosed,37
2966,300,6/22/2022 20:00,Education,Computer/Technology Classes,Organization 138,,Jefferson County,,40223,Undisclosed,61
2973,1051,5/27/2022 19:48,Employment,Job Search/Placement,Organization 138,4.69,,,,Undisclosed,48
2974,839,6/9/2022 18:30,Education,Educational Support Services,Organization 138,19.95,Jefferson County,,40211,Undisclosed,51
2979,789,6/13/2022 18:42,Education,Computer/Technology Classes,Organization 138,14.79,,,40245,Undisclosed,54
3063,718,6/9/2022 18:57,Employment,Job Search/Placement,Organization 138,14.13,Jefferson County,,40212,Undisclosed,53
3068,106,6/27/2022 18:36,Education,Educational Support Services,Organization 138,,,,40272,Undisclosed,39
3069,674,5/20/2022 18:26,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40203,Undisclosed,21
3076,698,6/13/2022 17:33,Employment,Job Training,Organization 138,,Jefferson County,,40203,Undisclosed,35
3079,893,6/3/2022 15:45,Transportation,Transportation Expense Assistance,Organization 138,,Jefferson County,,40204,Undisclosed,41
3080,112,6/13/2022 13:21,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40299,Undisclosed,21
3087,108,6/27/2022 17:28,Employment,Career Skills Development,Organization 138,,Jefferson County,,40204,Undisclosed,20
3106,346,6/23/2022 16:33,Employment,Job Search/Placement,Organization 138,,,,40272,Undisclosed,30
3108,724,6/14/2022 19:02,Education,Educational Support Services,Organization 138,,Jefferson County,,40216,Undisclosed,23
3127,610,6/16/2022 16:29,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40202,Undisclosed,52
3135,725,6/14/2022 15:47,Employment,Job Search/Placement,Organization 138,14.79,Jefferson County,,40216,Undisclosed,56
3174,258,6/21/2022 20:37,Employment,Job Training,Organization 138,,Jefferson County,,40220,Undisclosed,52
3190,824,6/8/2022 19:42,Employment,Career Skills Development,Organization 138,2.82,Jefferson County,,40212,Undisclosed,37
3191,868,6/9/2022 15:53,Employment,Job Search/Placement,Organization 138,,,,,,
3195,350,6/15/2022 17:57,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40220,Undisclosed,67
3205,391,6/13/2022 16:32,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40228,Undisclosed,58
3211,652,6/3/2022 16:41,Education,Educational Support Services,Organization 138,,,,,,
3220,243,2/1/2022 18:10,Employment,Job Training,Organization 138,,Jefferson County,,40206,Undisclosed,59
3223,100,6/30/2022 14:17,Education,Educational Support Services,Organization 138,,Jefferson County,,40291,Undisclosed,25
3240,778,6/9/2022 17:11,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40203,Undisclosed,62
3250,27,6/30/2022 19:26,Employment,Job Search/Placement,Organization 138,,Jefferson County,,40219,Undisclosed,41
