ServiceEpisodeID,ClientID,Created At,Service Type,Service Subtype,Originating Organization,Address 1 County,Address 1 State,Address 1 Postal Code,Gender,Age
2208,108,6/27/2022 17:21,Food Assistance,SNAP/WIC/Other Nutrition Benefits,Organization 138,Jefferson County,,40204,Undisclosed,20
2208,108,6/27/2022 17:08,Food Assistance,SNAP/WIC/Other Nutrition Benefits,Organization 138,Jefferson County,,40204,Undisclosed,20
2215,697,6/1/2022 15:49,Individual & Family Support,Child Care,Organization 138,Jefferson County,,40210,Undisclosed,24
2231,934,6/3/2022 18:29,Employment,Job Search/Placement,Organization 138,,,,Undisclosed,30
2236,825,6/8/2022 19:23,Employment,Job Search/Placement,Organization 138,,,40241,Undisclosed,22
2280,764,6/14/2022 12:25,Employment,Job Training,Organization 138,,,40272,Undisclosed,44
2280,764,6/14/2022 12:25,Employment,Job Training,Organization 138,,,40272,Undisclosed,44
2280,764,6/3/2022 16:49,Employment,Job Training,Organization 138,,,40272,Undisclosed,44
2296,33,6/30/2022 19:06,Employment,Career Skills Development,Organization 138,Jefferson County,,40214,Undisclosed,17
2303,785,6/6/2022 19:45,Employment,Job Training,Organization 138,,,40150,Undisclosed,30
2304,980,6/6/2022 19:04,Employment,Job Training,Organization 138,,,,,
2307,696,6/13/2022 20:06,Employment,Job Training,Organization 138,Jefferson County,,40208,Undisclosed,22
2318,242,5/23/2022 20:34,Employment,Job Search/Placement,Organization 138,Jefferson County,,40216,Undisclosed,27
2343,496,6/23/2022 14:32,Employment,Job Search/Placement,Organization 138,Jefferson County,,40215,Undisclosed,62
2355,350,6/15/2022 17:58,Employment,Job Search/Placement,Organization 138,Jefferson County,,40220,Undisclosed,67
2365,302,6/17/2022 16:36,Education,Computer/Technology Classes,Organization 138,Jefferson County,,40216,Undisclosed,42
2366,120,6/24/2022 16:20,Employment,Job Training,Organization 138,Boone County,,41005,Undisclosed,57
2366,120,6/24/2022 16:20,,,Organization 138,Boone County,,41005,Undisclosed,57
2368,777,6/13/2022 16:22,Employment,Job Search/Placement,Organization 138,Jefferson County,,40291,Undisclosed,33
2370,986,6/6/2022 16:40,Employment,Job Search/Placement,Organization 138,Jefferson County,,40217,Undisclosed,38
2403,691,6/15/2022 15:37,Employment,Job Training,Organization 138,Shelby County,,40065,Undisclosed,36
2403,691,6/15/2022 15:37,Employment,Job Training,Organization 138,Shelby County,,40065,Undisclosed,36
2403,691,6/15/2022 15:32,Employment,Job Training,Organization 138,Shelby County,,40065,Undisclosed,36
2439,578,6/3/2022 15:11,Employment,Job Search/Placement,Organization 138,,,,Undisclosed,34
2439,578,6/3/2022 15:11,,,Organization 138,,,,Undisclosed,34
2445,575,6/21/2022 15:14,Employment,Job Search/Placement,Organization 138,,,,,
2446,867,6/9/2022 16:51,Employment,Job Training,Organization 138,,,,,
2479,700,6/3/2022 19:02,Employment,Job Search/Placement,Organization 138,Jefferson County,,40291,Undisclosed,47
2486,104,6/29/2022 13:28,Education,Educational Support Services,Organization 138,Jefferson County,,40211,Undisclosed,29
2530,450,6/17/2022 18:03,Employment,Job Training,Organization 138,Jefferson County,,40207,Undisclosed,33
2549,540,6/22/2022 14:22,Employment,Job Training,Organization 138,Jefferson County,,40211,Undisclosed,30
2559,697,6/1/2022 15:50,Individual & Family Support,Child Care,Organization 138,Jefferson County,,40210,Undisclosed,24
2559,697,6/1/2022 15:50,,,Organization 138,Jefferson County,,40210,Undisclosed,24
2568,686,6/15/2022 12:40,Employment,Job Search/Placement,Organization 138,Jefferson County,,40213,Undisclosed,49
2580,557,6/21/2022 18:19,Employment,Job Search/Placement,Organization 138,Jefferson County,,40220,Undisclosed,61
2586,352,6/14/2022 12:17,Employment,Job Search/Placement,Organization 138,,,40241,Undisclosed,59
2587,825,6/8/2022 19:20,Employment,Job Search/Placement,Organization 138,,,40241,Undisclosed,22
2588,375,6/13/2022 16:07,Employment,Job Search/Placement,Organization 138,,,,,
2588,375,6/13/2022 16:07,Employment,Job Search/Placement,Organization 138,,,,,
2613,576,6/21/2022 15:02,Education,Tuition Assistance,Organization 138,Jefferson County,,40214,Undisclosed,48
2625,863,6/3/2022 14:50,Employment,Job Search/Placement,Organization 138,,,40047,Undisclosed,63
2648,275,6/28/2022 15:30,Employment,Job Training,Organization 138,,,40211,Undisclosed,31
2666,948,6/7/2022 15:55,Employment,Job Search/Placement,Organization 138,,,,,
2668,1016,5/25/2022 14:12,Employment,Job Search/Placement,Organization 138,Jefferson County,,40217,Undisclosed,33
2673,868,6/9/2022 15:51,Employment,Job Training,Organization 138,,,,,
2698,719,6/15/2022 13:14,Employment,Career Skills Development,Organization 138,Jefferson County,,40203,Undisclosed,25
2718,808,5/25/2022 18:41,Employment,Job Search/Placement,Organization 138,Jefferson County,,40208,Undisclosed,21
2718,808,5/25/2022 18:41,,,Organization 138,Jefferson County,,40208,Undisclosed,21
2768,554,6/21/2022 19:38,Employment,Job Training,Organization 138,,,,,
2795,864,6/9/2022 16:39,Employment,Job Search/Placement,Organization 138,Bullitt County,,40165,Undisclosed,54
2799,793,6/13/2022 15:50,Employment,Job Training,Organization 138,,,40150,Undisclosed,38
2809,443,6/21/2022 17:32,Employment,Job Search/Placement,Organization 138,Jefferson County,,40203,Undisclosed,38
2814,147,6/29/2022 19:00,Employment,Job Training,Organization 138,,,,,
2843,248,4/26/2022 19:27,Education,Educational Support Services,Organization 138,Jefferson County,,40216,Undisclosed,16
2859,611,6/15/2022 20:22,Employment,Job Search/Placement,Organization 138,Jefferson County,,40206,Undisclosed,66
2865,798,6/10/2022 20:14,Employment,Job Training,Organization 138,Jefferson County,,40214,Undisclosed,20
2865,798,6/10/2022 20:13,Employment,Job Training,Organization 138,Jefferson County,,40214,Undisclosed,20
2865,798,6/7/2022 16:02,Employment,Job Training,Organization 138,Jefferson County,,40214,Undisclosed,20
2870,898,6/8/2022 17:33,Education,Educational Support Services,Organization 138,,,,,
2876,1090,6/1/2022 16:17,Employment,Job Training,Organization 138,Shelby County,,40065,Undisclosed,24
2880,797,6/10/2022 19:12,Employment,Job Training,Organization 138,Jefferson County,,40216,Undisclosed,22
2880,797,6/10/2022 19:11,Employment,Job Training,Organization 138,Jefferson County,,40216,Undisclosed,22
2880,797,6/3/2022 17:22,Employment,Job Training,Organization 138,Jefferson County,,40216,Undisclosed,22
2889,609,6/16/2022 18:49,Employment,Job Training,Organization 138,Jefferson County,,40203,Undisclosed,34
2902,1096,6/1/2022 14:31,Employment,Job Training,Organization 138,Jefferson County,,40228,Undisclosed,18
